Town_county,pd_dept_plus_county,slug_pd,pd_dept,county,coverage_city,footnotes,footnotes_about_race,total_rows_2012,total_rows_2013,total_rows_2014,total_rows_2015,total_rows_2016,total_rows_2012_2016,total_incidents_2012,total_incidents_2013,total_incidents_2014,total_incidents_2015,total_incidents_2016,total_incidents_2012_2016,total_arrests_2012,total_arrests_2013,total_arrests_2014,total_arrests_2015,total_arrests_2016,total_arrests_2012_2016,rate_incidents_per_arrests_2012_2016,rank_rate_incidents_per_arrests_2012_2016,white_pct_subjects,black_pct_subjects,hispanic_pct_subjects,asian_pacific_islander_pct_subjects,white_arrests_pct_2012_2016,black_arrests_pct_2012_2016,api_arrests_pct_2012_2016,white_pct_officers,black_pct_officers,hispanic_pct_officers,asian_pacific_islander_pct_officers,pctwhite_adjpop,pctblack_adjpop,pcthisp_adjpop,pctasian_adjpop,odds_ratio_pop,odds_ratio_arrests,officers_involved_in_incidents,incidents_per_officer,total_complaince_hold,total_hands_fists,total_pepper_spray,total_baton,total_leg_strikes,total_deadly_force,total_take_down,pct_complaince_hold,pct_hands_fists,pct_pepper_spray,pct_baton,pct_leg_strikes,pct_take_down,pct_deadly_force,total_resisted_police,total_physical_attack,total_knife_attack,total_blunt_attack,total_gun_threat,total_gun_fire,total_attack_car,pct_resisted_police,pct_physical_attack,pct_knife_attack,pct_blunt_attack,pct_gun_threat,pct_gun_fire,pct_car_attack,pct_officers_injured,pct_subjects_injured,avg_police_employees_2012_2016,nyc_ofc_count,la_ofc_count,chi_ofc_count
"Hanover, Morris County","Hanover, Morris",hanover-morris,Hanover,Morris,Hanover,,,10,1,8,19,30,68,5,1,5,10,17,38,323,267,348,447,359,1744,21.78899083,288,60,20,12.5,7.5,77.80963303,18.80733945,3.211009174,97.05882353,1.470588235,0,1.470588235,78.7259027,0.6849985,6.2041296,14.1794696,41.04591837,1.379065041,21,3.238095238,59,33,1,1,1,0,0,86.76470588,48.52941176,1.470588235,1.470588235,1.470588235,0,0,67,32,0,2,0,0,0,98.52941176,47.05882353,0,2.941176471,0,0,0,8.823529412,15,29,11,1,11
"Harding, Morris County","Harding, Morris",harding-morris,Harding,Morris,Harding,,,6,4,0,9,4,23,4,1,0,4,2,11,77,99,93,95,121,485,22.68041237,276,69.23076923,15.38461538,0,7.692307692,89.07216495,9.484536082,1.443298969,100,0,0,0,84.9479584,0,4.8839071,9.2473979,,2.086956522,11,2.090909091,18,5,0,1,0,0,1,78.26086957,21.73913043,0,4.347826087,0,4.347826087,0,20,9,0,0,0,0,0,86.95652174,39.13043478,0,0,0,0,0,13.04347826,0,10,3,0,3
"Hardyston, Sussex County","Hardyston, Sussex",hardyston-sussex,Hardyston,Sussex,Hardyston,,,4,2,4,6,7,23,4,2,4,4,5,19,188,178,151,157,139,813,23.3702337,267,90,5,5,0,93.11193112,6.150061501,0.73800738,100,0,0,0,93.9006837,1.7092479,2.0690896,1.8172004,,0.841111111,9,2.555555556,18,8,1,0,0,0,4,78.26086957,34.7826087,4.347826087,0,0,17.39130435,0,20,12,0,0,0,0,0,86.95652174,52.17391304,0,0,0,0,0,13.04347826,15,18,2,0,2
"Harrington Park, Bergen County","Harrington Park, Bergen",harrington-park-bergen,Harrington Park,Bergen,Harrington Park,,,0,0,1,2,0,3,0,0,1,2,0,3,15,66,55,34,10,180,16.66666667,336,66.66666667,0,33.33333333,0,89.44444444,2.777777778,3.333333333,100,0,0,0,70.7310109,0.9708738,8.4237579,19.2461451,,0,3,1,2,1,0,0,0,0,0,66.66666667,33.33333333,0,0,0,0,0,2,1,0,0,0,0,0,66.66666667,33.33333333,0,0,0,0,0,0,0,11,0,0,0
"Harrison Township, Gloucester County","Harrison, Gloucester",harrison-gloucester,Harrison,Gloucester,Harrison,,,4,7,2,3,4,20,2,6,2,1,3,14,206,258,268,203,192,1127,12.42236025,391,62.5,37.5,0,0,76.13132209,22.71517303,0.887311446,100,0,0,0,91.1216846,2.7940879,4.1708848,0.5770399,,2.0109375,11,1.818181818,16,12,3,1,0,0,0,80,60,15,5,0,0,0,19,10,0,0,0,0,0,95,50,0,0,0,0,0,20,18.75,17,6,0,7
"Harrison, Hudson County","Harrison, Hudson",harrison-hudson,Harrison,Hudson,Harrison,,,34,16,19,19,13,102,19,9,10,11,8,57,373,305,247,258,326,1509,37.77335984,133,71.66666667,8.333333333,16.66666667,0,74.42014579,24.38701127,1.12657389,91.17647059,0,6.862745098,0,29.2913789,1.807794,44.4444444,22.1795856,1.230594698,0.354840748,32,3.1875,92,38,6,8,1,1,2,90.19607843,37.25490196,5.882352941,7.843137255,0.980392157,1.960784314,0.980392157,89,55,2,2,1,1,3,87.25490196,53.92156863,1.960784314,1.960784314,0.980392157,0.980392157,2.941176471,15.68627451,36.84210526,36,21,0,21
"Harvey Cedars, Ocean County","Harvey Cedars, Ocean",harvey-cedars-ocean,Harvey Cedars,Ocean,Harvey Cedars,,,0,2,0,3,5,10,0,2,0,3,3,8,23,35,41,25,53,177,45.19774011,84,87.5,12.5,0,0,96.61016949,2.259887006,1.129943503,100,0,0,0,98.5436893,0.9708738,0,0,,6.107142857,5,2,10,2,1,0,0,0,0,100,20,10,0,0,0,0,10,5,0,0,0,0,0,100,50,0,0,0,0,0,20,0,8,2,0,2
"Hasbrouck Heights, Bergen County","Hasbrouck Heights, Bergen",hasbrouck-heights-bergen,Hasbrouck Heights,Bergen,Hasbrouck Heights,,,5,1,6,7,10,29,4,1,5,6,6,22,99,109,139,208,187,742,29.64959569,200,69.56521739,13.04347826,8.695652174,0,80.32345013,18.19407008,1.482479784,96.55172414,0,0,0,67.7199643,1.965163,14.0352836,15.5203216,6.563852814,0.827777778,17,1.705882353,26,11,2,0,0,0,0,89.65517241,37.93103448,6.896551724,0,0,0,0,25,18,0,2,0,0,0,86.20689655,62.06896552,0,6.896551724,0,0,0,13.79310345,31.81818182,29,9,0,10
"Haworth, Bergen County","Haworth, Bergen",haworth-bergen,Haworth,Bergen,Haworth,,,0,0,0,0,4,4,0,0,0,0,2,2,24,31,25,33,31,144,13.88888889,376,100,0,0,0,81.94444444,11.11111111,4.166666667,100,0,0,0,80.1924619,1.4434643,2.4859663,14.2742582,,0,4,1,4,2,0,0,2,0,0,100,50,0,0,50,0,0,4,4,2,0,0,0,0,100,100,50,0,0,0,0,0,50,11,2,0,2
"Hawthorne, Passaic County","Hawthorne, Passaic",hawthorne-passaic,Hawthorne,Passaic,Hawthorne,,,21,7,8,26,11,73,13,5,5,15,8,46,233,213,273,321,284,1324,34.74320242,156,86.95652174,6.52173913,6.52173913,0,88.14199396,10.87613293,0.981873112,98.63013699,0,0,0,73.7052662,1.8257201,21.7631656,1.3092814,3.105424456,0.6078125,25,2.92,67,37,1,0,3,0,0,91.78082192,50.68493151,1.369863014,0,4.109589041,0,0,71,39,0,0,0,0,0,97.26027397,53.42465753,0,0,0,0,0,13.69863014,17.39130435,30,11,2,11
