Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country Code,latitude,longitude
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,NGA,9.6000359,7.9999721
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,NIC,12.6090157,-85.2936911
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,NLD,52.5001698,5.7480821
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,NOR,64.5731537,11.5280364
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,NPL,28.1083929,84.0917139
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,NZL,-41.5000831,172.8344077
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,PAK,30.3308401,71.247499
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,PAN,8.559559,-81.1308434
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,PER,-6.8699697,-75.0458515
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,PHL,12.7503486,122.7312101
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,POL,52.215933,19.134422
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,PRT,40.0332629,-7.8896263
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,PRY,-23.3165935,-58.1693445
110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,PSE,31.9469665,35.2738655
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,QAT,25.3336984,51.2295295
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,ROU,45.9852129,24.6859225
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,SRB,44.0243228,21.0765743
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,RUS,64.6863136,97.7453061
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,RWA,-1.9646631,30.0644358
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,SAU,25.6242618,42.3528328
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,SEN,14.4750607,-14.4529612
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,SGP,1.340863,103.8303918
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,SLE,8.6400349,-11.8400269
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,SLV,13.8000382,-88.9140683
112,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27,SOM,8.3676771,49.083416
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,SSD,7.8699431,29.6667897
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,SVK,48.7411522,19.4528646
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,SVN,45.8133113,14.4808369
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,SWE,59.6749712,14.5208584
135,Swaziland,4.212,0.811,1.149,0,0.313,0.074,0.135,SWZ,-26.5624806,31.3991317
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,SYR,34.6401861,39.0494106
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,TCD,15.6134137,19.0156172
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,TGO,8.7800265,1.0199765
52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,THA,14.8971921,100.83273
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,TJK,38.6281733,70.8156541
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,TKM,39.3763807,59.3924609
39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,TTO,10.8677845,-60.9821067
124,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055,TUN,33.8439408,9.400138
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,TUR,38.9597594,34.9249653
25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,TWN,23.9739374,120.9820179
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,TZA,-6.5247123,35.7878438
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,UGA,1.5333554,32.2166578
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,UKR,49.4871968,31.2718321
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,URY,-32.8755548,-56.0201525
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,USA,39.7837304,-100.4458825
41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,UZB,41.32373,63.9528098
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,VEN,8.0018709,-66.1109318
94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,VNM,13.2904027,108.4265113
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,YEM,16.3471243,47.8915271
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,ZAF,-28.8166236,24.991639
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,ZMB,-14.5186239,27.5599164
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,ZWE,-18.4554963,29.7468414
